target,uniprot,positive_control,candidate_PDBs,selected_structure_count
EGFR,P00533,Erlotinib,8A27; 8A2D; 5UG9; 5HG8; 8A2A; 5UG8; 3POZ; 6TFV; 6TG0; 3VRP; 5HG5; 5CNO; 5UGC; 3G5Y; 5U8L; 6TG1; 7SI1; 8PO4; 8A2B; 3W33; 6TFY; 4I22; 6WXN; 1M17; 2ITY; 2ITX; 3W2S; 4HJO; 4WKQ,6
HER2,P04626,Lapatinib,1MFG; 8VB5; 8JYR; 8U8X; 8JYQ; 7PCD; 5TQS; 1MFL; 4GFU; 6LBX; 9IUT; 5MY6; 3PP0; 1QR1; 3H3B; 2A91; 4NND; 1N8Z; 4HRL; 4HRN; 6BGT; 3BE1; 3MZW; 6J71; 5O4G; 3RCD; 6OGE; 7JXH; 7JXI; 7JXJ,6
VEGFR2,P35968,Sorafenib,2XIR; 3VO3; 6GQQ; 3VHE; 3WZD; 3EWH; 3VNT; 1YWN; 3BE2; 6XVJ; 4ASE; 6GQO; 3WZE; 2P2H; 4AG8; 6XVK; 4AGC; 4ASD; 2OH4; 6GQP; 1Y6A; 1Y6B; 2QU6; 3C7Q; 3CJF; 3EFL; 3CJG,6
